236
0, 1, 2
0, 2, 3
0, 3, 4
0, 4, 5
3, 6, 7
3, 7, 8
3, 8, 9
3, 9, 4
10, 11, 12
10, 12, 13
10, 13, 9
8, 10, 9
14, 15, 16
14, 16, 17
14, 17, 18
14, 18, 19
17, 20, 21
17, 21, 22
17, 22, 23
17, 23, 18
1, 24, 25
1, 25, 26
1, 26, 27
1, 27, 2
24, 21, 20
24, 20, 28
24, 28, 29
24, 29, 25
15, 30, 31
15, 31, 32
15, 32, 33
15, 33, 16
34, 35, 29
29, 28, 33
34, 29, 33
32, 34, 33
36, 37, 38
38, 39, 27
36, 38, 27
26, 36, 27
30, 40, 41
30, 41, 42
30, 42, 43
30, 43, 31
44, 45, 46
44, 46, 47
44, 47, 43
42, 44, 43
38, 48, 49
38, 49, 7
38, 7, 6
38, 6, 39
48, 45, 44
48, 44, 50
48, 50, 51
48, 51, 49
40, 52, 53
40, 53, 54
40, 54, 55
40, 55, 41
54, 11, 10
54, 10, 51
54, 51, 50
54, 50, 55
4, 9, 13
4, 13, 56
5, 4, 56
22, 21, 24
22, 24, 1
22, 1, 0
17, 16, 33
17, 33, 28
17, 28, 20
36, 26, 25
35, 36, 25
29, 35, 25
31, 43, 47
31, 47, 34
32, 31, 34
42, 41, 55
42, 55, 50
42, 50, 44
51, 10, 8
51, 8, 7
51, 7, 49
57, 12, 11
53, 57, 11
54, 53, 11
52, 40, 30
52, 30, 15
52, 15, 14
3, 2, 27
3, 27, 39
3, 39, 6
48, 38, 37
45, 48, 37
46, 45, 37
47, 46, 37
37, 36, 35
47, 37, 35
34, 47, 35
23, 22, 0
0, 5, 56
23, 0, 56
58, 23, 56
53, 52, 14
14, 19, 59
53, 14, 59
57, 53, 59
18, 23, 58
19, 18, 58
59, 19, 58
60, 61, 62
63, 60, 62
64, 63, 62
65, 64, 62
66, 67, 63
68, 66, 63
69, 68, 63
64, 69, 63
70, 71, 72
73, 70, 72
69, 73, 72
69, 72, 68
74, 75, 76
77, 74, 76
78, 77, 76
79, 78, 76
80, 81, 77
82, 80, 77
83, 82, 77
78, 83, 77
84, 85, 61
86, 84, 61
87, 86, 61
60, 87, 61
81, 80, 85
88, 81, 85
89, 88, 85
84, 89, 85
90, 91, 75
92, 90, 75
93, 92, 75
74, 93, 75
89, 94, 95
93, 88, 89
93, 89, 95
93, 95, 92
96, 97, 98
87, 99, 96
87, 96, 98
87, 98, 86
100, 101, 91
102, 100, 91
103, 102, 91
90, 103, 91
104, 105, 106
107, 104, 106
103, 107, 106
103, 106, 102
108, 109, 96
66, 108, 96
67, 66, 96
99, 67, 96
106, 105, 109
110, 106, 109
111, 110, 109
108, 111, 109
112, 113, 101
114, 112, 101
115, 114, 101
100, 115, 101
72, 71, 114
111, 72, 114
110, 111, 114
115, 110, 114
73, 69, 64
116, 73, 64
116, 64, 65
85, 80, 82
61, 85, 82
62, 61, 82
93, 74, 77
88, 93, 77
81, 88, 77
84, 86, 98
84, 98, 94
84, 94, 89
107, 103, 90
95, 107, 90
95, 90, 92
115, 100, 102
110, 115, 102
106, 110, 102
68, 72, 111
66, 68, 111
108, 66, 111
71, 70, 117
71, 117, 112
71, 112, 114
91, 101, 113
75, 91, 113
76, 75, 113
87, 60, 63
99, 87, 63
67, 99, 63
97, 96, 109
97, 109, 105
97, 105, 104
97, 104, 107
94, 98, 97
94, 97, 107
94, 107, 95
62, 82, 83
116, 65, 62
116, 62, 83
116, 83, 118
76, 113, 112
119, 79, 76
119, 76, 112
119, 112, 117
118, 83, 78
118, 78, 79
118, 79, 119
13, 12, 70
70, 73, 13
56, 13, 73
73, 116, 56
12, 57, 117
117, 70, 12
58, 56, 116
116, 118, 58
57, 59, 119
119, 117, 57
59, 58, 118
118, 119, 59
