596
0, 1, 2
1, 0, 3
3, 0, 4
4, 0, 5
5, 0, 6
6, 0, 7
7, 0, 8
9, 10, 11
10, 9, 12
11, 10, 13
10, 12, 14
9, 15, 16
15, 9, 17
17, 9, 11
18, 19, 20
19, 18, 21
21, 18, 22
22, 18, 23
23, 18, 24
24, 18, 25
25, 18, 26
26, 18, 27
28, 29, 30
29, 28, 31
29, 31, 32
29, 32, 33
33, 32, 34
33, 34, 35
33, 35, 36
33, 36, 37
38, 39, 40
39, 38, 41
41, 38, 42
42, 38, 43
44, 9, 16
9, 44, 45
45, 12, 9
12, 45, 46
46, 45, 47
47, 48, 46
48, 47, 49
50, 51, 52
51, 50, 53
54, 0, 55
0, 54, 8
8, 54, 56
8, 56, 57
8, 57, 58
8, 58, 59
8, 59, 60
8, 60, 61
62, 63, 64
63, 62, 60
60, 62, 61
61, 62, 65
66, 27, 53
27, 66, 26
26, 66, 67
26, 67, 68
51, 18, 69
18, 51, 27
27, 51, 53
30, 43, 38
43, 30, 29
29, 70, 43
70, 29, 71
71, 29, 72
72, 29, 33
73, 74, 75
74, 73, 65
65, 73, 7
7, 73, 6
7, 61, 65
61, 7, 8
72, 76, 71
76, 72, 77
64, 68, 67
68, 64, 63
52, 69, 78
69, 52, 51
79, 80, 81
80, 79, 82
82, 79, 83
83, 79, 84
84, 79, 85
85, 79, 86
86, 79, 87
86, 87, 88
86, 88, 89
86, 89, 90
69, 91, 78
91, 69, 92
92, 69, 93
93, 69, 94
94, 69, 95
95, 69, 20
20, 69, 18
96, 52, 97
52, 96, 50
98, 75, 99
75, 98, 73
48, 96, 97
96, 48, 49
77, 99, 76
99, 77, 98
85, 98, 77
98, 85, 86
48, 100, 101
100, 48, 97
100, 102, 101
102, 100, 103
103, 100, 104
104, 100, 105
105, 100, 106
106, 100, 107
107, 100, 108
107, 108, 109
107, 109, 110
107, 110, 111
52, 112, 97
112, 52, 113
100, 112, 108
112, 100, 97
52, 91, 113
91, 52, 78
114, 115, 116
115, 114, 117
109, 115, 110
115, 109, 116
114, 93, 117
93, 114, 92
118, 119, 120
119, 118, 121
111, 122, 107
122, 111, 119
119, 111, 120
121, 95, 123
95, 121, 94
94, 121, 118
124, 125, 126
125, 124, 127
127, 106, 128
106, 127, 105
105, 127, 124
11, 125, 17
125, 11, 126
129, 130, 131
130, 129, 132
132, 104, 130
104, 132, 103
10, 131, 13
131, 10, 129
46, 133, 134
133, 46, 48
48, 102, 133
102, 48, 101
12, 134, 14
134, 12, 46
39, 135, 136
135, 39, 137
138, 137, 139
137, 138, 135
140, 141, 142
141, 140, 143
144, 141, 145
141, 144, 142
146, 147, 148
147, 146, 149
150, 72, 151
72, 150, 77
85, 150, 84
150, 85, 77
72, 37, 151
37, 72, 33
152, 153, 154
153, 152, 155
83, 152, 82
152, 83, 155
153, 35, 154
35, 153, 36
156, 157, 158
157, 156, 159
80, 160, 81
160, 80, 156
156, 80, 159
158, 32, 161
32, 158, 34
34, 158, 157
162, 163, 164
163, 162, 165
163, 88, 164
88, 163, 89
4, 162, 3
162, 4, 165
166, 98, 167
98, 166, 73
98, 90, 167
90, 98, 86
6, 166, 5
166, 6, 73
168, 169, 170
169, 168, 63
63, 168, 68
25, 168, 170
168, 25, 68
68, 25, 26
60, 169, 63
169, 60, 59
171, 172, 173
172, 171, 174
23, 171, 173
171, 23, 24
58, 172, 174
172, 58, 57
175, 176, 177
176, 175, 178
19, 177, 179
177, 19, 21
56, 176, 178
176, 56, 54
108, 116, 109
116, 108, 180
180, 108, 181
181, 108, 112
182, 114, 183
114, 182, 92
92, 182, 91
91, 182, 113
182, 180, 181
180, 182, 183
180, 114, 116
114, 180, 183
182, 112, 113
112, 182, 181
184, 132, 185
132, 184, 103
103, 184, 102
102, 184, 133
14, 129, 10
129, 14, 186
186, 14, 187
187, 14, 134
187, 185, 186
185, 187, 184
184, 134, 133
134, 184, 187
186, 132, 129
132, 186, 185
188, 124, 189
124, 188, 105
105, 188, 104
104, 188, 130
13, 126, 11
126, 13, 190
190, 13, 191
191, 13, 131
191, 189, 190
189, 191, 188
188, 131, 130
131, 188, 191
190, 124, 126
124, 190, 189
110, 120, 111
120, 110, 192
192, 110, 193
193, 110, 115
194, 118, 195
118, 194, 94
94, 194, 93
93, 194, 117
194, 192, 193
192, 194, 195
192, 118, 120
118, 192, 195
194, 115, 117
115, 194, 193
145, 135, 138
135, 145, 141
135, 141, 196
135, 196, 197
198, 135, 197
135, 198, 136
140, 199, 200
199, 140, 201
201, 140, 202
201, 202, 203
148, 142, 144
142, 148, 147
142, 147, 204
142, 204, 205
202, 204, 203
204, 202, 205
201, 204, 147
204, 201, 203
202, 142, 205
142, 202, 140
84, 155, 83
155, 84, 206
206, 84, 207
207, 84, 150
208, 153, 209
153, 208, 36
36, 208, 37
37, 208, 151
206, 208, 209
208, 206, 207
153, 206, 209
206, 153, 155
150, 208, 207
208, 150, 151
82, 159, 80
159, 82, 210
210, 82, 211
211, 82, 152
212, 157, 213
157, 212, 34
34, 212, 35
35, 212, 154
214, 215, 216
215, 214, 87
87, 214, 88
88, 214, 164
3, 217, 1
217, 3, 218
218, 3, 162
218, 219, 217
220, 215, 221
215, 220, 217
221, 79, 222
79, 221, 87
87, 221, 215
1, 223, 2
223, 1, 220
220, 1, 217
219, 214, 216
214, 219, 218
162, 214, 218
214, 162, 164
215, 219, 216
219, 215, 217
210, 212, 213
212, 210, 211
157, 210, 213
210, 157, 159
152, 212, 211
212, 152, 154
224, 163, 225
163, 224, 89
89, 224, 90
90, 224, 167
5, 165, 4
165, 5, 226
226, 5, 227
227, 5, 166
226, 224, 225
224, 226, 227
166, 224, 227
224, 166, 167
163, 226, 225
226, 163, 165
171, 228, 229
228, 171, 170
170, 171, 24
170, 24, 25
169, 230, 231
230, 169, 174
174, 169, 59
174, 59, 58
228, 230, 229
230, 228, 231
230, 171, 229
171, 230, 174
169, 228, 170
228, 169, 231
175, 232, 233
232, 175, 173
173, 175, 22
173, 22, 23
172, 234, 235
234, 172, 178
178, 172, 57
178, 57, 56
233, 235, 234
235, 233, 232
