94
0, 1, 2
3, 2, 1
3, 1, 4
2, 3, 5
4, 1, 6
7, 6, 1
0, 7, 1
0, 8, 7
9, 8, 0
8, 10, 11
11, 7, 8
8, 12, 10
8, 13, 12
8, 14, 13
9, 14, 8
4, 0, 3
3, 0, 2
3, 2, 5
4, 6, 0
0, 6, 7
0, 7, 13
13, 7, 12
12, 7, 11
12, 11, 10
15, 14, 13
13, 14, 9
13, 9, 0
16, 17, 15
15, 17, 14
14, 17, 18
13, 14, 18
13, 18, 15
18, 16, 15
18, 17, 16
5, 3, 19
19, 3, 20
2, 5, 21
21, 5, 19
0, 2, 22
22, 2, 21
9, 0, 23
23, 0, 22
14, 9, 24
24, 9, 23
17, 14, 25
25, 14, 24
16, 17, 26
26, 17, 25
15, 16, 27
27, 16, 26
13, 15, 28
28, 15, 27
12, 13, 29
29, 13, 28
10, 12, 30
30, 12, 29
11, 10, 31
31, 10, 30
7, 11, 32
32, 11, 31
6, 7, 33
33, 7, 32
4, 6, 34
34, 6, 33
3, 4, 20
20, 4, 34
34, 22, 20
20, 22, 21
20, 21, 19
34, 33, 22
22, 33, 32
22, 32, 28
28, 32, 29
29, 32, 31
29, 31, 30
27, 24, 28
28, 24, 23
28, 23, 22
26, 25, 27
27, 25, 24
6, 4, 0
0, 4, 3
0, 3, 2
2, 3, 5
9, 13, 0
0, 13, 7
0, 7, 6
9, 14, 13
13, 14, 15
15, 14, 17
15, 17, 16
13, 12, 7
7, 12, 11
11, 12, 10
