292
0, 1, 2
0, 2, 3
4, 3, 2
4, 2, 5
6, 5, 7
6, 7, 8
9, 10, 11
9, 11, 12
13, 14, 15
13, 15, 16
17, 18, 19
17, 19, 20
21, 22, 23
21, 23, 24
25, 26, 27
25, 27, 28
29, 30, 31
29, 31, 32
33, 34, 35
33, 35, 36
37, 38, 39
37, 39, 40
41, 42, 43
41, 43, 44
45, 46, 47
45, 47, 48
49, 50, 51
49, 51, 52
53, 54, 55
53, 55, 56
1, 57, 58
1, 58, 59
60, 61, 62
60, 62, 63
57, 64, 65
57, 65, 58
66, 67, 6
66, 6, 68
69, 70, 71
69, 71, 72
73, 74, 75
73, 75, 76
77, 78, 75
77, 75, 74
79, 80, 81
79, 81, 82
83, 64, 57
83, 57, 84
80, 83, 84
80, 84, 81
31, 30, 83
31, 83, 80
30, 60, 64
30, 64, 83
42, 79, 82
42, 82, 43
19, 18, 79
19, 79, 42
18, 31, 80
18, 80, 79
14, 77, 74
14, 74, 15
43, 82, 77
43, 77, 14
82, 81, 78
82, 78, 77
70, 73, 76
70, 76, 71
35, 16, 73
35, 73, 70
16, 15, 74
16, 74, 73
12, 69, 72
12, 72, 47
11, 36, 69
11, 69, 12
36, 35, 70
36, 70, 69
48, 66, 68
48, 68, 85
47, 72, 66
47, 66, 48
72, 71, 67
72, 67, 66
86, 87, 88
86, 88, 89
90, 91, 92
90, 92, 93
85, 68, 94
85, 94, 95
91, 96, 97
91, 97, 92
5, 2, 98
5, 98, 7
2, 1, 59
2, 59, 98
61, 99, 100
61, 100, 62
64, 60, 63
64, 63, 65
99, 86, 89
99, 89, 100
50, 53, 56
50, 56, 51
101, 102, 53
101, 53, 50
102, 103, 54
102, 54, 53
90, 49, 52
90, 52, 91
87, 104, 49
87, 49, 90
104, 101, 50
104, 50, 49
96, 45, 48
96, 48, 85
91, 52, 45
91, 45, 96
52, 51, 46
52, 46, 45
105, 106, 107
105, 107, 108
23, 20, 41
23, 41, 109
20, 19, 42
20, 42, 41
54, 110, 111
54, 111, 55
103, 24, 110
103, 110, 54
24, 23, 109
24, 109, 110
10, 33, 36
10, 36, 11
55, 111, 33
55, 33, 10
112, 113, 114
112, 114, 115
26, 29, 32
26, 32, 27
99, 61, 29
99, 29, 26
61, 60, 30
61, 30, 29
104, 25, 28
104, 28, 101
87, 86, 25
87, 25, 104
86, 99, 26
86, 26, 25
102, 21, 24
102, 24, 103
101, 28, 21
101, 21, 102
28, 27, 22
28, 22, 21
22, 17, 20
22, 20, 23
27, 32, 17
27, 17, 22
32, 31, 18
32, 18, 17
34, 13, 16
34, 16, 35
116, 37, 40
116, 40, 117
44, 43, 14
44, 14, 13
46, 9, 12
46, 12, 47
51, 56, 9
51, 9, 46
56, 55, 10
56, 10, 9
87, 90, 93
87, 93, 88
68, 6, 8
68, 8, 94
96, 85, 95
96, 95, 97
67, 4, 5
67, 5, 6
71, 76, 4
71, 4, 67
76, 75, 3
76, 3, 4
78, 0, 3
78, 3, 75
81, 84, 0
81, 0, 78
84, 57, 1
84, 1, 0
112, 118, 119
112, 119, 113
118, 120, 121
118, 121, 119
113, 119, 40
113, 40, 39
119, 121, 117
119, 117, 40
116, 117, 122
116, 122, 123
113, 39, 124
113, 124, 114
121, 120, 125
121, 125, 126
112, 105, 108
112, 108, 127
110, 109, 106
110, 106, 105
44, 13, 116
44, 116, 128
33, 111, 129
33, 129, 38
41, 44, 128
41, 128, 130
13, 34, 37
13, 37, 116
111, 110, 105
111, 105, 129
109, 41, 130
109, 130, 106
34, 33, 38
34, 38, 37
131, 132, 126
131, 126, 125
132, 123, 122
132, 122, 126
130, 128, 132
130, 132, 131
128, 116, 123
128, 123, 132
120, 130, 131
120, 131, 125
117, 121, 126
117, 126, 122
107, 133, 134
107, 134, 135
108, 107, 135
108, 135, 127
118, 112, 127
118, 127, 135
120, 118, 135
120, 135, 134
130, 120, 134
130, 134, 133
106, 130, 133
106, 133, 107
136, 137, 115
136, 115, 114
138, 136, 114
138, 114, 124
38, 129, 136
38, 136, 138
105, 112, 115
105, 115, 137
129, 105, 137
129, 137, 136
39, 38, 138
39, 138, 124
139, 65, 63
139, 63, 62
140, 141, 100
140, 100, 89
142, 143, 144
142, 144, 145
146, 59, 58
146, 58, 147
143, 146, 147
143, 147, 144
8, 7, 146
8, 146, 143
7, 98, 59
7, 59, 146
97, 142, 145
97, 145, 92
95, 94, 142
95, 142, 97
94, 8, 143
94, 143, 142
93, 140, 89
93, 89, 88
92, 145, 140
92, 140, 93
145, 144, 141
145, 141, 140
141, 139, 62
141, 62, 100
144, 147, 139
144, 139, 141
147, 58, 65
147, 65, 139
